irn,title,title_length,number_of_imagesimage_irn,width,height,contentUrl,rights,description,observedDimension,creator,role,createdDate,createdPlace,productionUsedTechnique,isMadeOfSummary,isMadeOf,isTypeOf,influencedBy,depicts,refersTo,creditLine
1572330,Letter,6,2,394119,6691,5434,https://media.tepapa.govt.nz/collection/394119/full,No Known Copyright Restrictions,"<P>This item comes from a collection of letters, covers and other historical material which Te Papa has acquired from Gerald Ellott at various times since 2001. The collection includes items from as early as 1818, but most relate to the New Zealand Wars period (1845-1872) and particularly the 1860s.&nbsp; </P>
<P>Gerald is one of New Zealand’s foremost postal historians, and for nearly sixty years has been collecting, researching and exhibiting the early postal history of New Zealand. He was invited to sign the Roll of Distinguished Philatelists in 1988, is a recipient of the Fédération Internationale de Philatélie Research Medal, and was appointed a Member of the New Zealand Order of Merit for services to philately in the 2008 Queen’s Birthday Honours.</P>
<P>The New Zealand Wars collection includes letters written by soldiers serving in British regiments in New Zealand, as well as letters from members of colonial militia and volunteer units. The content and context of the letters provide a wealth of historical, social and military information about this period. The postal markings on the letters and envelopes are also informative, allowing us to track the movement of British troops and the opening up of post offices in their wake.</P>
<P>Many items in the collection are mounted and annotated on archival pages. Gerald wrote the annotations for the purposes of display and storytelling. They reflect his views and the language of the time, and Te Papa has not reviewed them for accuracy. </P>
<P><STRONG>Transcript:</STRONG></P>Camp Te. Awamutu 21<SUP>st</SUP> May/64
<P></P>Dear Mother + Martha
<P></P>
<P>I received no news from you by the last mail but i intend writing to you every month, we are still at the place named in my last letter and likely to remain for a couple months longer Everything has been very quiet here since the Batle of Orakau named in my last letter but it was not been so in other parts of the Colony</P>
<P>[page 2]</P>
<P>on the East Coast the natives and troops had a Battle in which we lost (Killed) 33 wounded 77</P>
<P>the loss on the enemys side not known, and another reengagement took place at Taranaki in which we had only 1 man wounded, and on the natives side 35 killed. the troops engaged at Taurangi (the East Coast) were the 43<SUP>rd</SUP> + 68<SUP>th</SUP> and 1 company of ours, troops engaged at Taranaki were the 57<SUP>th</SUP> it is reported here that more troops are to go to</P>
<P>[page 3]</P>
<P>Wanganui as the natives there are rising up against us, i dont think there will be much of a stir before the spring that is about August<BR>there is nothing like peace at present but things might take a favourable turn sooner than i expect the Wet Weather is coming in and we suffer very much from it we are placed about 16 men in a miserable tent deprived of all comforts that Town affords but i hope such thing swill not last much longer<BR>Dear Mother + Sister Martha</P>
<P>[page 4]</P>
<P>i have nothing more particular to say at present but shall continue to write every month and hope to hear from you as punctual. give my love to Mary Ann, James, and all Inquiring Friends<BR>I remain your<BR>Loving Son<BR>George Tatler</P>
<P>Dear Martha accep my love<BR>and write by return<BR>of Post</P>","Overall: 224mm (width), 179mm (height)",Private George Tatler,writer,21 May 1864,Te Awamutu (New Zealand),,,"paper,ink",letters,,,"New Zealand Wars,New Zealand,Te Awamutu","Gift of Gerald Ellott, 2002"
1572331,Letter,6,2,394122,6298,4968,https://media.tepapa.govt.nz/collection/394122/full,No Known Copyright Restrictions,"<P>This item comes from a collection of letters, covers and other historical material which Te Papa has acquired from Gerald Ellott at various times since 2001. The collection includes items from as early as 1818, but most relate to the New Zealand Wars period (1845-1872) and particularly the 1860s.&nbsp; </P>
<P>Gerald is one of New Zealand’s foremost postal historians, and for nearly sixty years has been collecting, researching and exhibiting the early postal history of New Zealand. He was invited to sign the Roll of Distinguished Philatelists in 1988, is a recipient of the Fédération Internationale de Philatélie Research Medal, and was appointed a Member of the New Zealand Order of Merit for services to philately in the 2008 Queen’s Birthday Honours.</P>
<P>The New Zealand Wars collection includes letters written by soldiers serving in British regiments in New Zealand, as well as letters from members of colonial militia and volunteer units. The content and context of the letters provide a wealth of historical, social and military information about this period. The postal markings on the letters and envelopes are also informative, allowing us to track the movement of British troops and the opening up of post offices in their wake.</P>
<P>Many items in the collection are mounted and annotated on archival pages. Gerald wrote the annotations for the purposes of display and storytelling. They reflect his views and the language of the time, and Te Papa has not reviewed them for accuracy. </P>
<P><STRONG>Transcript:</STRONG></P><P>Camp Te. Awamutu 26<SUP>th</SUP> August/64</P>
<P>Dear Mother + Martha</P>
<P>The English Mail has arrived and no letter for mee but i write these few lines hoping to hear from you by the next mail<BR>I hope these few lines will find you in the Enjoyment of good health our Regt and the 40<SUP>th</SUP> are still occupying the Waikato Country nothing Extra has ocured since i wrote to you last the General has not renewed opperations yet </P>
<P>[page 2]</P>
<P>and it is not known wether there will be any more Fighting in this part of the Country or not<BR>it is expected that the Genl. Will take a force down to Taranaki as the tribe down there will not come to any terms. The Kaffirs have broken out again at the Cape and it is reported here as soon as the Troops can be dispensed with here they will be sent to the Cape of good hope but i hope</P>
<P>[page 3]</P>
<P>not for i have had plenty of it in this Country. there is a great number of people coming in this Country and only for the greater part of them being in the Militia they would be starved as the Country is not open yet, some of our men that have been Discharged says if they had the chance again they would go home but for my part i cannot decide until we get into Auckland<BR>Until then i must remain in suspense</P>
<P>[page 4]</P>
<P>i have nothing more to say at present but remain</P>
<P>Yours Truly</P>
<P>My Kind Love to the reader of these few lines for i know it will be Martha</P>
<P>Dearest Love to Mother</P>
<P class=MsoNormal style=""MARGIN: 0cm 0cm 8pt; tab-stops: 5.0cm 163.05pt right 451.3pt"">George Tatler<BR>No 6 Company<BR>65<SUP>th</SUP> Regt<BR>Te. Awamutu<BR>New Zealand</P>","Overall: 207mm (width), 163mm (height)",Private George Tatler,writer,26 August 1864,Te Awamutu (New Zealand),,,"paper,ink",letters,,,"New Zealand Wars,New Zealand,Te Awamutu","Gift of Gerald Ellott, 2002"
1572331,Letter,6,2,394123,6361,4957,https://media.tepapa.govt.nz/collection/394123/full,No Known Copyright Restrictions,"<P>This item comes from a collection of letters, covers and other historical material which Te Papa has acquired from Gerald Ellott at various times since 2001. The collection includes items from as early as 1818, but most relate to the New Zealand Wars period (1845-1872) and particularly the 1860s.&nbsp; </P>
<P>Gerald is one of New Zealand’s foremost postal historians, and for nearly sixty years has been collecting, researching and exhibiting the early postal history of New Zealand. He was invited to sign the Roll of Distinguished Philatelists in 1988, is a recipient of the Fédération Internationale de Philatélie Research Medal, and was appointed a Member of the New Zealand Order of Merit for services to philately in the 2008 Queen’s Birthday Honours.</P>
<P>The New Zealand Wars collection includes letters written by soldiers serving in British regiments in New Zealand, as well as letters from members of colonial militia and volunteer units. The content and context of the letters provide a wealth of historical, social and military information about this period. The postal markings on the letters and envelopes are also informative, allowing us to track the movement of British troops and the opening up of post offices in their wake.</P>
<P>Many items in the collection are mounted and annotated on archival pages. Gerald wrote the annotations for the purposes of display and storytelling. They reflect his views and the language of the time, and Te Papa has not reviewed them for accuracy. </P>
<P><STRONG>Transcript:</STRONG></P><P>Camp Te. Awamutu 26<SUP>th</SUP> August/64</P>
<P>Dear Mother + Martha</P>
<P>The English Mail has arrived and no letter for mee but i write these few lines hoping to hear from you by the next mail<BR>I hope these few lines will find you in the Enjoyment of good health our Regt and the 40<SUP>th</SUP> are still occupying the Waikato Country nothing Extra has ocured since i wrote to you last the General has not renewed opperations yet </P>
<P>[page 2]</P>
<P>and it is not known wether there will be any more Fighting in this part of the Country or not<BR>it is expected that the Genl. Will take a force down to Taranaki as the tribe down there will not come to any terms. The Kaffirs have broken out again at the Cape and it is reported here as soon as the Troops can be dispensed with here they will be sent to the Cape of good hope but i hope</P>
<P>[page 3]</P>
<P>not for i have had plenty of it in this Country. there is a great number of people coming in this Country and only for the greater part of them being in the Militia they would be starved as the Country is not open yet, some of our men that have been Discharged says if they had the chance again they would go home but for my part i cannot decide until we get into Auckland<BR>Until then i must remain in suspense</P>
<P>[page 4]</P>
<P>i have nothing more to say at present but remain</P>
<P>Yours Truly</P>
<P>My Kind Love to the reader of these few lines for i know it will be Martha</P>
<P>Dearest Love to Mother</P>
<P class=MsoNormal style=""MARGIN: 0cm 0cm 8pt; tab-stops: 5.0cm 163.05pt right 451.3pt"">George Tatler<BR>No 6 Company<BR>65<SUP>th</SUP> Regt<BR>Te. Awamutu<BR>New Zealand</P>","Overall: 207mm (width), 163mm (height)",Private George Tatler,writer,26 August 1864,Te Awamutu (New Zealand),,,"paper,ink",letters,,,"New Zealand Wars,New Zealand,Te Awamutu","Gift of Gerald Ellott, 2002"
1572333,Letter,6,2,394124,6739,5412,https://media.tepapa.govt.nz/collection/394124/full,No Known Copyright Restrictions,"<P>This item comes from a collection of letters, covers and other historical material which Te Papa has acquired from Gerald Ellott at various times since 2001. The collection includes items from as early as 1818, but most relate to the New Zealand Wars period (1845-1872) and particularly the 1860s.&nbsp; </P>
<P>Gerald is one of New Zealand’s foremost postal historians, and for nearly sixty years has been collecting, researching and exhibiting the early postal history of New Zealand. He was invited to sign the Roll of Distinguished Philatelists in 1988, is a recipient of the Fédération Internationale de Philatélie Research Medal, and was appointed a Member of the New Zealand Order of Merit for services to philately in the 2008 Queen’s Birthday Honours.</P>
<P>The New Zealand Wars collection includes letters written by soldiers serving in British regiments in New Zealand, as well as letters from members of colonial militia and volunteer units. The content and context of the letters provide a wealth of historical, social and military information about this period. The postal markings on the letters and envelopes are also informative, allowing us to track the movement of British troops and the opening up of post offices in their wake.</P>
<P>Many items in the collection are mounted and annotated on archival pages. Gerald wrote the annotations for the purposes of display and storytelling. They reflect his views and the language of the time, and Te Papa has not reviewed them for accuracy. </P>
<P><STRONG>Transcript:</STRONG></P><P>Camp Te. Awamutu 26<SUP>th</SUP> Oct/64</P>
<P>Dear Mother + Martha<BR>I recieved your kind and welcome letter on the 24<SUP>th</SUP> of this month and i am glad to hear that ou are in the enjoyment of good health as these few lines leave mee at present thank God for it i wrote to you by the last mail and their unusual as occurred since we are still at Te. Awamutu and no certainty what will be done at present</P>
<P>[page 2]</P>
<P>the Governor is trying to Back up a peace with the natives but i dont think he will but untill that is done their will be no chance of our Regt coming home but we must with patience for&nbsp;future results they&nbsp;proove favourable i hope so i should very much like to come home and see old England and Friends once more if we are spared to see it.<BR>Dear Martha you say you are fond of Pretty well all i can that i am sorry you are not</P>
<P>[page 3]</P>
<P>here for i am Garrison Librarian and could lett you have plenty of it i supose you never heard that name before but i have no doubt you wil make yourself acquainted with it, i think of the good old sport we used to have at our wakes of which you reminded mee of in your last letter and your excursions in Wales i have had many trips but alass they have been bitter ones and Dangerous ones to not the same as the first one i had to Liverpool</P>
<P>[page 4]</P>
<P>When in youthful fancy every thing was so Beautiful and i returned home ful of strange and Romantic ideas<BR>No. i say again that Bitter Experience teaches that awful lesson excuse me for running of of in this strain but i nothing more to say, but give My Love to My Mother and she be spared til i come home<BR>My love to Maryan i used to hear from her now and again<BR>James and all inquiring Friends</P>
<P>Yours Truly</P>
<P>G. Tatler</P>","Overall: 225mm (width), 178mm (height)",Private George Tatler,writer,26 October 1864,Te Awamutu (New Zealand),,,"paper,ink",letters,,,"New Zealand Wars,New Zealand,Te Awamutu","Gift of Gerald Ellott, 2002"
1572333,Letter,6,2,394125,6753,5357,https://media.tepapa.govt.nz/collection/394125/full,No Known Copyright Restrictions,"<P>This item comes from a collection of letters, covers and other historical material which Te Papa has acquired from Gerald Ellott at various times since 2001. The collection includes items from as early as 1818, but most relate to the New Zealand Wars period (1845-1872) and particularly the 1860s.&nbsp; </P>
<P>Gerald is one of New Zealand’s foremost postal historians, and for nearly sixty years has been collecting, researching and exhibiting the early postal history of New Zealand. He was invited to sign the Roll of Distinguished Philatelists in 1988, is a recipient of the Fédération Internationale de Philatélie Research Medal, and was appointed a Member of the New Zealand Order of Merit for services to philately in the 2008 Queen’s Birthday Honours.</P>
<P>The New Zealand Wars collection includes letters written by soldiers serving in British regiments in New Zealand, as well as letters from members of colonial militia and volunteer units. The content and context of the letters provide a wealth of historical, social and military information about this period. The postal markings on the letters and envelopes are also informative, allowing us to track the movement of British troops and the opening up of post offices in their wake.</P>
<P>Many items in the collection are mounted and annotated on archival pages. Gerald wrote the annotations for the purposes of display and storytelling. They reflect his views and the language of the time, and Te Papa has not reviewed them for accuracy. </P>
<P><STRONG>Transcript:</STRONG></P><P>Camp Te. Awamutu 26<SUP>th</SUP> Oct/64</P>
<P>Dear Mother + Martha<BR>I recieved your kind and welcome letter on the 24<SUP>th</SUP> of this month and i am glad to hear that ou are in the enjoyment of good health as these few lines leave mee at present thank God for it i wrote to you by the last mail and their unusual as occurred since we are still at Te. Awamutu and no certainty what will be done at present</P>
<P>[page 2]</P>
<P>the Governor is trying to Back up a peace with the natives but i dont think he will but untill that is done their will be no chance of our Regt coming home but we must with patience for&nbsp;future results they&nbsp;proove favourable i hope so i should very much like to come home and see old England and Friends once more if we are spared to see it.<BR>Dear Martha you say you are fond of Pretty well all i can that i am sorry you are not</P>
<P>[page 3]</P>
<P>here for i am Garrison Librarian and could lett you have plenty of it i supose you never heard that name before but i have no doubt you wil make yourself acquainted with it, i think of the good old sport we used to have at our wakes of which you reminded mee of in your last letter and your excursions in Wales i have had many trips but alass they have been bitter ones and Dangerous ones to not the same as the first one i had to Liverpool</P>
<P>[page 4]</P>
<P>When in youthful fancy every thing was so Beautiful and i returned home ful of strange and Romantic ideas<BR>No. i say again that Bitter Experience teaches that awful lesson excuse me for running of of in this strain but i nothing more to say, but give My Love to My Mother and she be spared til i come home<BR>My love to Maryan i used to hear from her now and again<BR>James and all inquiring Friends</P>
<P>Yours Truly</P>
<P>G. Tatler</P>","Overall: 225mm (width), 178mm (height)",Private George Tatler,writer,26 October 1864,Te Awamutu (New Zealand),,,"paper,ink",letters,,,"New Zealand Wars,New Zealand,Te Awamutu","Gift of Gerald Ellott, 2002"
1572334,Letter,6,2,394126,6719,5432,https://media.tepapa.govt.nz/collection/394126/full,No Known Copyright Restrictions,"<P>This item comes from a collection of letters, covers and other historical material which Te Papa has acquired from Gerald Ellott at various times since 2001. The collection includes items from as early as 1818, but most relate to the New Zealand Wars period (1845-1872) and particularly the 1860s.&nbsp; </P>
<P>Gerald is one of New Zealand’s foremost postal historians, and for nearly sixty years has been collecting, researching and exhibiting the early postal history of New Zealand. He was invited to sign the Roll of Distinguished Philatelists in 1988, is a recipient of the Fédération Internationale de Philatélie Research Medal, and was appointed a Member of the New Zealand Order of Merit for services to philately in the 2008 Queen’s Birthday Honours.</P>
<P>The New Zealand Wars collection includes letters written by soldiers serving in British regiments in New Zealand, as well as letters from members of colonial militia and volunteer units. The content and context of the letters provide a wealth of historical, social and military information about this period. The postal markings on the letters and envelopes are also informative, allowing us to track the movement of British troops and the opening up of post offices in their wake.</P>
<P>Many items in the collection are mounted and annotated on archival pages. Gerald wrote the annotations for the purposes of display and storytelling. They reflect his views and the language of the time, and Te Papa has not reviewed them for accuracy. </P>
<P><STRONG>Transcript:</STRONG></P>Camp Te. Awamutu 25<SUP>th</SUP> Dec/64</P>
Dear Mother + Martha</P>
<P>You must excuse mee not writing by the last mail but i was not well so i postponed till Mail<BR>this is Christmas Day here and Sunday likewise but it makes very little change here there is no friends to come and see you here from the Country or the next town our litle Dinner party is composed of 4 men belonging to the 40<SUP>th</SUP> Regt. &amp; myself in the Reading Room but i hope the next one will write the link which seperates iss so long and so far from each other</P>
<P>[page 2]</P>
<P>Everything has been very quit here since i wrote to you last the Governor issued a proclamation some time ago giving the natives till the 10<SUP>th</SUP> of Dec. to give up there arms and submit to Brittish Rule but they have taken no notice of it and what he intends doing i don’t i think he is going to make a move to Wanganui and Wellington he has Confiscated their land and there is no Troops to leave the Column at present so we must suffer on awhile longer Dear Mother i have nothing particular to say but am waiting patiently for the </P>
<P>[page 3]</P>
<P>order for home i have not had the pleasure of seeing one from home since i came out here and the people you have mentioned are in Auckland and i am about 150 miles from the place<BR>I have not received any news from home by this Mail (or the last English Mail)<BR>Dear Mother + Martha i hope you are enjoying your Christmas you must excuse me saying any more this time as it Dinner time<BR>Give my love to all<BR>From your loving</P>
<P>Son G. Tatler</P>","Overall: 223mm (width), 181mm (height)",Private George Tatler,writer,25 December 1864,Te Awamutu (New Zealand),,,"paper,ink",letters,,,"New Zealand Wars,New Zealand,Te Awamutu","Gift of Gerald Ellott, 2002"
1572334,Letter,6,2,394127,6825,5489,https://media.tepapa.govt.nz/collection/394127/full,No Known Copyright Restrictions,"<P>This item comes from a collection of letters, covers and other historical material which Te Papa has acquired from Gerald Ellott at various times since 2001. The collection includes items from as early as 1818, but most relate to the New Zealand Wars period (1845-1872) and particularly the 1860s.&nbsp; </P>
<P>Gerald is one of New Zealand’s foremost postal historians, and for nearly sixty years has been collecting, researching and exhibiting the early postal history of New Zealand. He was invited to sign the Roll of Distinguished Philatelists in 1988, is a recipient of the Fédération Internationale de Philatélie Research Medal, and was appointed a Member of the New Zealand Order of Merit for services to philately in the 2008 Queen’s Birthday Honours.</P>
<P>The New Zealand Wars collection includes letters written by soldiers serving in British regiments in New Zealand, as well as letters from members of colonial militia and volunteer units. The content and context of the letters provide a wealth of historical, social and military information about this period. The postal markings on the letters and envelopes are also informative, allowing us to track the movement of British troops and the opening up of post offices in their wake.</P>
<P>Many items in the collection are mounted and annotated on archival pages. Gerald wrote the annotations for the purposes of display and storytelling. They reflect his views and the language of the time, and Te Papa has not reviewed them for accuracy. </P>
<P><STRONG>Transcript:</STRONG></P>Camp Te. Awamutu 25<SUP>th</SUP> Dec/64</P>
Dear Mother + Martha</P>
<P>You must excuse mee not writing by the last mail but i was not well so i postponed till Mail<BR>this is Christmas Day here and Sunday likewise but it makes very little change here there is no friends to come and see you here from the Country or the next town our litle Dinner party is composed of 4 men belonging to the 40<SUP>th</SUP> Regt. &amp; myself in the Reading Room but i hope the next one will write the link which seperates iss so long and so far from each other</P>
<P>[page 2]</P>
<P>Everything has been very quit here since i wrote to you last the Governor issued a proclamation some time ago giving the natives till the 10<SUP>th</SUP> of Dec. to give up there arms and submit to Brittish Rule but they have taken no notice of it and what he intends doing i don’t i think he is going to make a move to Wanganui and Wellington he has Confiscated their land and there is no Troops to leave the Column at present so we must suffer on awhile longer Dear Mother i have nothing particular to say but am waiting patiently for the </P>
<P>[page 3]</P>
<P>order for home i have not had the pleasure of seeing one from home since i came out here and the people you have mentioned are in Auckland and i am about 150 miles from the place<BR>I have not received any news from home by this Mail (or the last English Mail)<BR>Dear Mother + Martha i hope you are enjoying your Christmas you must excuse me saying any more this time as it Dinner time<BR>Give my love to all<BR>From your loving</P>
<P>Son G. Tatler</P>","Overall: 223mm (width), 181mm (height)",Private George Tatler,writer,25 December 1864,Te Awamutu (New Zealand),,,"paper,ink",letters,,,"New Zealand Wars,New Zealand,Te Awamutu","Gift of Gerald Ellott, 2002"
1574442,Licence to Brewer,17,1,550686,6074,4936,https://media.tepapa.govt.nz/collection/550686/full,No Known Copyright Restrictions,,"Overall: 225mm (width), 182mm (height)",Andrew Ellis,writer,1 January 1872,Riverton (New Zealand),,,"paper,printing ink",permits,,,"Brewing industry,Beer,Wine,Riverton",
1574443,"Beer duty stamp, ten gallons (specimen)",39,1,550687,7760,4897,https://media.tepapa.govt.nz/collection/550687/full,No Known Copyright Restrictions,,"Overall: 84mm (width), 48mm (height)","William Bock,Government Printer (N.Z.)","engraver,printer",1878,New Zealand,,,"paper,printing ink",tax stamps,,,"Brewing industry,Beer,New Zealand",
1574444,"Beer duty stamp, two gallons",28,1,550688,7607,4888,https://media.tepapa.govt.nz/collection/550688/full,No Known Copyright Restrictions,,"Overall: 84mm (width), 49mm (height)","William Bock,Government Printer (N.Z.)","engraver,printer",1878,New Zealand,,,"paper,printing ink",tax stamps,,,"Brewing industry,Beer,New Zealand",
1574445,"Beer duty stamp, three gallons",30,1,550689,7277,4799,https://media.tepapa.govt.nz/collection/550689/full,No Known Copyright Restrictions,,"Overall: 81mm (width), 49mm (height)","William Bock,Government Printer (N.Z.)","engraver,printer",1878,New Zealand,,,"paper,printing ink",tax stamps,,,"Brewing industry,Beer,New Zealand",
1574482,"Beer duty stamp, five gallons",29,1,550690,8615,5252,https://media.tepapa.govt.nz/collection/550690/full,No Known Copyright Restrictions,,"Overall: 93mm (width), 50mm (height)","William Bock,Government Printer (N.Z.)","engraver,printer",1878,New Zealand,,,"paper,printing ink",tax stamps,,,"Brewing industry,Beer,New Zealand",
1574488,"Beer duty stamp, eighteen gallons",33,1,550691,7564,5149,https://media.tepapa.govt.nz/collection/550691/full,No Known Copyright Restrictions,,"Overall: 83mm (width), 49mm (height)","William Bock,Government Printer (N.Z.)","engraver,printer",1878,New Zealand,,,"paper,printing ink",tax stamps,,,"Brewing industry,Beer,New Zealand",
1574493,"Beer duty stamp, one hogshead",29,1,550692,7553,5079,https://media.tepapa.govt.nz/collection/550692/full,No Known Copyright Restrictions,,"Overall: 83mm (width), 48mm (height)","William Bock,Government Printer (N.Z.)","engraver,printer",1878,New Zealand,,,"paper,printing ink",tax stamps,,,"Brewing industry,Beer,New Zealand",
1574496,"Beer duty stamp, two gallons",28,1,550693,7550,4719,https://media.tepapa.govt.nz/collection/550693/full,No Known Copyright Restrictions,,"Overall: 85mm (width), 48mm (height)","William Bock,Government Printer (N.Z.)","engraver,printer",1878,New Zealand,,,"paper,printing ink",tax stamps,,,"Brewing industry,Beer,New Zealand",
1574497,"Beer duty stamp, ten gallons (specimen)",39,1,550694,7632,4739,https://media.tepapa.govt.nz/collection/550694/full,No Known Copyright Restrictions,,"Overall: 84mm (width), 47mm (height)","William Bock,Government Printer (N.Z.)","engraver,printer",1878,New Zealand,,,"paper,printing ink",tax stamps,,,"Brewing industry,Beer,New Zealand",
1574499,"Beer duty stamp, five gallons (specimen)",40,1,550695,7760,4897,https://media.tepapa.govt.nz/collection/550695/full,No Known Copyright Restrictions,,"Overall: 84mm (width), 49mm (height)","William Bock,Government Printer (N.Z.)","engraver,printer",1878,New Zealand,,,"paper,printing ink",tax stamps,,,"Brewing industry,Beer,New Zealand",
1574508,Licence to Brewer,17,1,550696,5416,4920,https://media.tepapa.govt.nz/collection/550696/full,No Known Copyright Restrictions,,"Overall: 221mm (width), 182mm (height)",John Borrie,writer,7 January 1881,Invercargill (New Zealand),,,"paper,printing ink",permits,,,"Brewing industry,Beer,Riverton",
1574523,"Beer duty stamp, five gallons",29,1,550697,7760,4660,https://media.tepapa.govt.nz/collection/550697/full,No Known Copyright Restrictions,,"Overall: 84mm (width), 48mm (height)","William Bock,Government Printer (N.Z.)","engraver,printer",1880,New Zealand,,,"paper,printing ink",tax stamps,,,"Brewing industry,Beer,New Zealand",
1574530,"Beer duty stamp, ten gallons",28,1,550698,7624,4644,https://media.tepapa.govt.nz/collection/550698/full,No Known Copyright Restrictions,,"Overall: 84mm (width), 48mm (height)","William Bock,Government Printer (N.Z.)","engraver,printer",1880,New Zealand,,,"paper,printing ink",tax stamps,,,"Brewing industry,Beer,New Zealand",
1574534,"Beer duty stamp, eighteen gallons",33,1,550699,7581,4564,https://media.tepapa.govt.nz/collection/550699/full,No Known Copyright Restrictions,,"Overall: 84mm (width), 48mm (height)","William Bock,Government Printer (N.Z.)","engraver,printer",1880,New Zealand,,,"paper,printing ink",tax stamps,,,"Brewing industry,Beer,New Zealand",
1574535,"Beer duty stamp, thirty gallons",31,1,550700,7490,4495,https://media.tepapa.govt.nz/collection/550700/full,No Known Copyright Restrictions,,"Overall: 84mm (width), 48mm (height)","William Bock,Government Printer (N.Z.)","engraver,printer",1880,New Zealand,,,"paper,printing ink",tax stamps,,,"Brewing industry,Beer,New Zealand",
1574537,"Beer duty stamp, one hogshead",29,1,550701,7597,4547,https://media.tepapa.govt.nz/collection/550701/full,No Known Copyright Restrictions,,"Overall: 85mm (width), 48mm (height)","William Bock,Government Printer (N.Z.)","engraver,printer",1880,New Zealand,,,"paper,printing ink",tax stamps,,,"Brewing industry,Beer,New Zealand",
1574539,"Beer duty stamp, twenty-seven gallons",37,1,550702,7553,4542,https://media.tepapa.govt.nz/collection/550702/full,No Known Copyright Restrictions,,"Overall: 83mm (width), 48mm (height)","William Bock,Government Printer (N.Z.)","engraver,printer",1880,New Zealand,,,"paper,printing ink",tax stamps,,,"Brewing industry,Beer,New Zealand",
1574540,"Beer duty stamp, twenty-eight gallons",37,1,550703,7386,4739,https://media.tepapa.govt.nz/collection/550703/full,No Known Copyright Restrictions,,"Overall: 82mm (width), 49mm (height)","William Bock,Government Printer (N.Z.)","engraver,printer",1880,New Zealand,,,"paper,printing ink",tax stamps,,,"Brewing industry,Beer,New Zealand",
1574541,"Plate proof for beer duty stamp, three gallons",46,1,550704,7259,10300,https://media.tepapa.govt.nz/collection/550704/full,No Known Copyright Restrictions,,"Image: 68mm (width), 68mm (height)","Bock and Cousins,Government Printer (N.Z.)","engraver,printer",1883,New Zealand,,,"paper,printing ink","tax stamps,proofs",,,"Brewing industry,Beer,New Zealand",
1574549,"Plate proof for beer duty stamp, ten gallons",44,1,550705,7158,10276,https://media.tepapa.govt.nz/collection/550705/full,No Known Copyright Restrictions,,"Image: 68mm (width), 68mm (height)","Bock and Cousins,Government Printer (N.Z.)","engraver,printer",1883,New Zealand,,,"paper,printing ink","tax stamps,proofs",,,"Brewing industry,Beer,New Zealand",
1574555,"Plate proof for beer duty stamp, ten gallons",44,1,550706,6922,8462,https://media.tepapa.govt.nz/collection/550706/full,No Known Copyright Restrictions,,"Image: 68mm (width), 68mm (height)","Bock and Cousins,Government Printer (N.Z.)","engraver,printer",1883,New Zealand,,,"paper,printing ink","tax stamps,proofs",,,"Brewing industry,Beer,New Zealand",
1574556,"Plate proof for beer duty stamp, fifty two gallons",50,1,550707,7722,9118,https://media.tepapa.govt.nz/collection/550707/full,No Known Copyright Restrictions,,"Image: 67mm (width), 67mm (height)","Bock and Cousins,Government Printer (N.Z.)","engraver,printer",1883,New Zealand,,,"paper,printing ink","tax stamps,proofs",,,"Brewing industry,Beer,New Zealand",
1574560,"Plate proof for beer duty stamp, two gallons",44,1,550708,6783,8590,https://media.tepapa.govt.nz/collection/550708/full,No Known Copyright Restrictions,,"Image: 68mm (width), 68mm (height)","Bock and Cousins,Government Printer (N.Z.)","engraver,printer",1883,New Zealand,,,"paper,printing ink","tax stamps,proofs",,,"Brewing industry,Beer,New Zealand",
1574565,"Plate proof for beer duty stamp, five gallons",45,1,550709,6428,8590,https://media.tepapa.govt.nz/collection/550709/full,No Known Copyright Restrictions,,"Image: 68mm (width), 68mm (height)","Bock and Cousins,Government Printer (N.Z.)","engraver,printer",1883,New Zealand,,,"paper,printing ink","tax stamps,proofs",,,"Brewing industry,Beer,New Zealand",
1574570,"Plate proof for beer duty stamp, eighteen gallons",49,1,550710,6885,8720,https://media.tepapa.govt.nz/collection/550710/full,No Known Copyright Restrictions,,"Image: 68mm (width), 68mm (height)","Bock and Cousins,Government Printer (N.Z.)","engraver,printer",1883,New Zealand,,,"paper,printing ink","tax stamps,proofs",,,"Brewing industry,Beer,New Zealand",
1574572,"Plate proof for beer duty stamp, eighteen gallons",49,1,550711,6739,9906,https://media.tepapa.govt.nz/collection/550711/full,No Known Copyright Restrictions,,"Image: 68mm (width), 68mm (height)","Bock and Cousins,Government Printer (N.Z.)","engraver,printer",1883,New Zealand,,,"paper,printing ink","tax stamps,proofs",,,"Brewing industry,Beer,New Zealand",
1574575,"Plate proof for beer duty stamp, twenty-seven gallons",53,1,550712,6851,8192,https://media.tepapa.govt.nz/collection/550712/full,No Known Copyright Restrictions,,"Image: 68mm (width), 68mm (height)","Bock and Cousins,Government Printer (N.Z.)","engraver,printer",1883,New Zealand,,,"paper,printing ink","tax stamps,proofs",,,"Brewing industry,Beer,New Zealand",
1574577,"Plate proof for beer duty stamp, thirty gallons",47,1,550713,6810,8712,https://media.tepapa.govt.nz/collection/550713/full,No Known Copyright Restrictions,,"Image: 68mm (width), 68mm (height)","Bock and Cousins,Government Printer (N.Z.)","engraver,printer",1883,New Zealand,,,"paper,printing ink","tax stamps,proofs",,,"Brewing industry,Beer,New Zealand",
